speed,steering,pwm,direction,duration_frames
0.0,0.0,0.0,0,14
0.0,0.0,30.0,1,1
20.0,11.0,60.0,1,1
40.0,11.0,90.0,1,1
40.0,10.0,120.0,1,1
60.0,10.0,150.0,1,1
80.0,10.0,180.0,1,1
90.0,10.0,200.0,1,4
100.0,13.0,200.0,1,1
100.0,-14.0,200.0,1,1
100.0,-14.0,200.0,1,1
100.0,-15.0,200.0,1,1
100.0,-15.0,200.0,1,1
100.0,-18.0,200.0,1,1
100.0,-20.0,200.0,1,8
170.0,-20.0,170.0,1,1
140.0,-17.0,140.0,1,1
110.0,-14.0,110.0,1,1
80.0,-11.0,80.0,1,1
50.0,-8.0,50.0,1,1
20.0,-5.0,20.0,1,1
0.0,-2.0,0.0,0,1
0.0,0.0,0.0,0,2
30.0,0.0,30.0,1,1
60.0,0.0,60.0,1,1
90.0,0.0,90.0,1,1
120.0,0.0,120.0,1,1
150.0,0.0,150.0,1,1
180.0,0.0,180.0,1,1
200.0,-3.0,200.0,1,1
200.0,-6.0,200.0,1,1
200.0,-9.0,200.0,1,1
200.0,-12.0,200.0,1,1
200.0,-15.0,200.0,1,1
200.0,-18.0,200.0,1,1
200.0,-20.0,200.0,1,3
200.0,-17.0,200.0,1,1
200.0,-14.0,200.0,1,1
200.0,-11.0,200.0,1,1
200.0,-8.0,200.0,1,1
200.0,-5.0,200.0,1,1
200.0,-2.0,200.0,1,1
200.0,1.0,200.0,1,1
200.0,4.0,200.0,1,1
200.0,7.0,200.0,1,1
200.0,10.0,200.0,1,1
200.0,13.0,200.0,1,1
200.0,16.0,200.0,1,1
200.0,19.0,200.0,1,1
200.0,20.0,200.0,1,6
170.0,17.0,170.0,1,1
140.0,14.0,140.0,1,1
110.0,11.0,110.0,1,1
80.0,8.0,80.0,1,1
50.0,5.0,50.0,1,1
20.0,2.0,20.0,1,1
0.0,0.0,0.0,0,8
-30.0,0.0,30.0,-1,1
-60.0,0.0,60.0,-1,1
-90.0,0.0,90.0,-1,1
-120.0,-3.0,120.0,-1,1
-150.0,-6.0,150.0,-1,1
-180.0,-9.0,180.0,-1,1
-200.0,-12.0,200.0,-1,1
-200.0,-15.0,200.0,-1,1
-200.0,-18.0,200.0,-1,1
-200.0,-20.0,200.0,-1,21
-170.0,-17.0,170.0,-1,1
-140.0,-14.0,140.0,-1,1
-110.0,-11.0,110.0,-1,1
-80.0,-8.0,80.0,-1,1
-50.0,-5.0,50.0,-1,1
-20.0,-2.0,20.0,-1,1
10.0,0.0,10.0,1,1
40.0,0.0,40.0,1,1
70.0,0.0,70.0,1,1
100.0,0.0,100.0,1,1
130.0,0.0,130.0,1,1
160.0,0.0,160.0,1,1
190.0,0.0,190.0,1,1
200.0,0.0,200.0,1,1
170.0,0.0,170.0,1,1
140.0,0.0,140.0,1,1
110.0,0.0,110.0,1,1
80.0,0.0,80.0,1,1
50.0,0.0,50.0,1,1
20.0,0.0,20.0,1,1
-10.0,0.0,10.0,-1,1
-40.0,0.0,40.0,-1,1
-70.0,0.0,70.0,-1,1
-100.0,0.0,100.0,-1,1
-130.0,0.0,130.0,-1,1
-160.0,0.0,160.0,-1,1
-130.0,0.0,130.0,-1,1
-100.0,0.0,100.0,-1,1
-70.0,0.0,70.0,-1,1
-40.0,0.0,40.0,-1,1
-10.0,0.0,10.0,-1,1
0.0,0.0,0.0,0,16
